"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[TC_0205157] Validate Logic when User can undo Merge Table from Parent Table","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","31765","[TC_0205485] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","0","[TC_0205031] Validate logic when user able to edit qty Menu Biasa Special Price","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","0","[TC_0205240] Validate logic POS when user edit Sales Mode within the order Page before order menu and the Sales Mode have default value","chromium","2026-04-21","skipped","2026-04-21","Transaction Edit Order","","",""
"","7046","[TC_0205725] Validate Logic when User can Select Table only in Synchronize Data sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205003] Validate logic when user able to add Menu Extra","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","17501","[TC_0206034] Validate Logic when user can use Other Voucher (Fixed) type Grand Total as a payment method","chromium","2026-04-21","failed","2026-04-21","Quick Service Move Item","","",""
"","6887","[TC_0205722] Validate Logic when User can Select Menu only in Synchronize Data sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","9667","[TC_0205516] Validate Logic When User Apply Promotion Head - Payment Pages - Menu Discount Rp All Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","10543","[TC_0206046] Validate Logic when user can mix Other Voucher (Custom) and Cash payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","41043","[TC_0205481] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount Limit % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","23579","[TC_0205428] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount Limit % Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","22148","[TC_0205426] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","104129","[TC_0206026] Validate Logic when user can input Compliment Amount automatically","chromium","2026-04-21","broken","2026-04-21","Payment Compliment POS","","",""
"","9084","[TC_0205293] Validate Logic When User Able To Add Menu Biasa Special Price","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","0","[TCAT_OMS_CQSBO_0038] Validate Logic When User Able To Add Menu Paket Special Price With Notes After Save","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","8908","[TC_0205556] Validate Logic When User Apply Promotion Head - Order Pages - Menu Discount Rp Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","16461","[TC_0205372] Validate Logic when User cannot select billed table in Move Item from Quick Service to Dine-In","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","1","[TC_0205005] Validate logic when user able to edit qty Menu Paket","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","30401","[TC_0205464] Validate Logic When User Apply Promotion Head - Payment Pages - Menu Discount Rp All Category","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","0","[TC_0205203] Validate Quantity for Menu and Subtotal of Menu Exclusive Price After Reducing Menu Quantity","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","8553","[TC_0205586] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","14801","[TC_0205344] Validate Logic when User can Deselect All Move Item to the other order from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","103186","[TC_0206008] Validate Logic when user can clear Cash amount","chromium","2026-04-21","broken","2026-04-21","Payment Cash POS","","",""
"","10427","[TC_0206051] Validate Logic when user mix Other Voucher, Compliment and Card payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","0","[TC_0205004] Validate logic when user able to edit qty Menu Biasa","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","0","[TC_0205215] Validate Logic when User can Unlink the Link Table from Parent Table","chromium","2026-04-21","skipped","2026-04-21","Dine in Link Table","","",""
"","1","[TC_0205007] Validate order list ketika user update dengan pilih promo dan back MENU BIASA","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","3767","[TC_0202009] Validate Logic when User clear pin field","chromium","2026-04-20","passed","2026-04-20","Sign PIN","","",""
"","6735","[TC_0205710] Validate Logic when User can Activate ESO Server in Application Setting sub-tab menu on Tools","chromium","2026-04-20","passed","2026-04-20","Tools","","",""
"","1","[TCAT_OMS_CQSBO_0033] Validate Logic When User Able To Edit Qty Menu Paket Special Price","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","103725","[TC_0206023]Validate Logic when user can use Compliment as a payment method","chromium","2026-04-21","broken","2026-04-21","Payment Compliment POS","","",""
"","1","[TCAT_OMS_CQSBO_0013] Validate Logic When User Able To Edit Qty Menu Biasa After Save Order > Increase Qty","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","0","[TC_0205056] Validate logic when user able to add Menu Extra Special Price with notes before Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","1","[TCAT_OMS_CQSBO_0019] Validate Logic When User Able To Add Menu Biasa With Notes Before Save Order","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","7067","[TC_0205740] Validate Logic when User can navigate to the Next Page Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","8013","[TC_0205265] Validate Logic When User Able To Add Menu Paket","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","23419","[TC_0205343] Validate Logic when User can Select All Move Item to the other order from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","25426","[TC_0205489] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - FREE ITEM MENU CATEGORY","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","38658","[TC_0205491] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - FREE ITEM MENU","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","8715","[TC_0205520] Validate Logic When User Apply Promotion Head - Payment Pages - Open Bill Dicount Rp","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","8655","[TC_0205575] Validate Logic When User Apply Promotion - Apply All Qty - FREE ITEM MENU","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","12240","[TC_0205558] Validate Logic When User Apply Promotion Head - Order Pages - Open Bill Dicount Rp","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","10657","[TC_0205334] Validate Logic when User can Navigate to the next Destination Table Page in Move Item","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","36980","[TC_0205137] Validate Logic when User can Cancel Table empty order","chromium","2026-04-21","passed","2026-04-21","Dine in Cancel Table","","",""
"","10271","[TC_0206019] Validate Logic when user can apply Card Payment","chromium","2026-04-21","failed","2026-04-21","Payment Card POS","","",""
"","6869","[TC_0205747] Validate Logic when User can select Expired Status All Promotions in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","6786","[TC_0205792] Validate Logic when User can Expand Desktop Section in Installation Guide sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205493] Validate Logic When User Apply Promotion Head - Order Pages - BUY X GET FREE Y Category","chromium","2026-04-21","skipped","2026-04-21","Promotion Inclusive After Discount","","",""
"","0","[TC_0205046] Validate logic when user able to edit qty Menu Open Price Special Price after Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","8793","[TC_0205578] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","0","[TC_0205212] Validate Logic when User can access Parent Table after user Link Table","chromium","2026-04-21","skipped","2026-04-21","Dine in Link Table","","",""
"","1","[TCAT_OMS_CQSBO_0044] Validate Logic When User Able To Add Menu Open Price With Notes Before Save","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","8725","[TC_0205534] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","10568","[TC_0205378] Validate Logic when User can Cancel Order empty order","chromium","2026-04-21","passed","2026-04-21","Quick Service Cancel Order","","",""
"","12140","[TCAT_OMS_CQSTM_0004] Validate Logic when User can't Cancel Order before saving order","chromium","2026-04-21","failed","2026-04-21","Quick Service Classic Cancel Order","","",""
"","6675","[TC_0205326] Validate Logic when User can Move Table from Quick Service to Dine-In while having no ordered items","chromium","2026-04-21","failed","2026-04-21","Quick Service Move Table","","",""
"","30506","[TC_0205447] Validate Logic When User Apply Promotion Head - Order Pages - Type: Discount Limit % Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","37929","[TC_0205483] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","22631","[TC_0206013] Validate Logic when user can use Card (Debit BCA) as a payment method","chromium","2026-04-21","failed","2026-04-21","Payment Card POS","","",""
